n13439570 n13489037
a2486425 a2486425
n2210728 n1759182
n7114023 n6284225
n8716219 n8716219
n6511242 n6643408
n8177487 n8168978
v1501676 v1500873
a1616350 a1616350
n12861751 n11567411
n7344368 n7352190
a1655972 a1655972
n7824268 n7809096
a2222773 a2222773
n8466643 n8464601
n217593 n217014
n12317296 n13109733
n9995398 n9621545
v905059 v905059
a2966324 a2966324
n8946564 n8946564
n952787 n947128
a304144 a304144
n6006364 n6750804
n11812910 n11812910
n6070929 n6037298
r124611 r124611
n1366700 n1326291
n7633511 n7628870
n5439582 n7951464
n722479 n722061
v930009 v943837
n5464534 n9379111
a823665 a823665
n13464557 n13541167
a1450607 a1450607
n7897200 n7881800
n2679788 n2679415
n5919431 n5616246
n12126516 n12126360
v728954 v588888
a2736015 a2736015
n12283395 n13104059
n11043836 n11043836
a798103 a798103
n10187842 n9617867
n8971554 n8971554
n4763293 n4616059
n1773157 n1769347
n12606438 n11669921
n4547592 n3327234
n14283002 n14276936
a3080862 a3080862
a1930512 a1930512
v871195 v870213
n9310616 n9258715
v1285440 v1285440
n2631775 n2623445
v1535002 v1534147
n12822115 n12822115
a2702656 a2702656
n242583 n235435
n11498203 n11419404
r413842 r413842
n10462429 n10462429
a1905552 a1905552
n5391000 n5267345
a632949 a632949
n9790047 n9632274
n8873067 n8873067
n12415765 n13087625
n11523736 n11419404
a607977 a607977
n8848094 n8848094
n8682389 n8574314
v680485 v680346
n2895438 n3183080
v1981036 v1981036
r506096 r506096
n10981961 n10981961
n11680596 n13086908
n13694825 n13694825
n2954340 n3502509
n9838511 n9870208
n6320569 n6289250
a2329606 a2329606
n13655262 n13655262
v2623906 v2623529
n3004275 n4060904
a47566 a47566
a1807075 a1807075
v2334756 v2327200
n13753740 n13728499
n9285128 n9285128
n531745 n426928
n8309854 n8307589
n1004582 n996969
n4679419 n4679419
a1234952 a1234952
n10667709 n9943239
n10207169 n10235549
v1055146 v978549
n14283097 n14276936
v1765392 v1764800
n10114897 n10474950
n12777892 n13112664
n301443 n308370
n9442496 n9442496
a1220311 a1220311
n119079 n859001
n13018579 n7992450
v1838860 v1835496
n7765361 n7705711
n13043516 n7992450
n13714184 n13608598
v978055 v977336
n3557141 n2852523
a284816 a284816
n1905543 n5515670
v1442779 v1441100
n2763604 n2913152
n7094731 n7092158
n11846312 n11842204
n13200806 n8108972
n14199146 n14501726
n1582498 n1578575
a1209984 a1209984
n9344050 n9344050
a2932931 a2932931
n11944751 n13085113
n13141972 n13141141
a3100184 a3100184
n8780881 n8780881
r388379 r388379
n9779623 n10791221
n2283728 n1759182
v2202928 v2202928
n6452363 n6452363
v2696961 v2696961
n6971872 n6904171
a2065404 a2065404
n4151581 n4151581
n12342299 n12205694
v2261256 v2245765
v2598483 v2598143
v498163 v497705
n3655589 n4271148
n2258780 n1759182
n15018169 n15017604
n14836468 n14728724
n7922764 n7881800
v2716165 v2716165
n9501322 n5625465
v1608508 v64889
